No.	ID	loglik_Null	loglik_Acc	loglik_Full	logBF1	logBF2	loglik_Max_M0	loglik_Max_M1	loglik_Max_M2
6	278	-244.53326	-243.97664	-244.62352	0.55661571	0.64687924	-241.25781	-235.63457	-235.63565
6	279	-472.97804	-469.27416	-469.69842	3.7038781	0.42425782	-469.27284	-453.75214	-446.05852
6	280	-286.88193	-285.75221	-285.55364	1.1297197	-0.1985675	-282.95424	-279.68732	-274.63979
6	281	-279.02222	-277.84228	-278.69032	1.17994	0.84803532	-276.16163	-270.22791	-270.29436
6	282	-333.77223	-334.5444	-334.79092	-0.77217053	0.24652161	-330.98233	-331.4804	-330.70812
6	283	-266.10102	-266.76359	-267.09881	-0.66257711	0.33521772	-263.16152	-262.05562	-262.05249
6	284	-282.48678	-278.43388	-279.43078	4.0529033	0.99690145	-279.63528	-271.12918	-271.19281
6	285	-326.60388	-323.97462	-324.94682	2.6292607	0.97219474	-321.45079	-311.43607	-311.45344
6	286	-325.38579	-319.07306	-319.48975	6.3127304	0.41669855	-314.30053	-304.74438	-304.76143
6	287	-294.89871	-295.25218	-295.48265	-0.35346389	0.2304782	-292.19632	-289.84479	-285.38442
6	288	-440.93961	-437.20552	-433.87041	3.7340898	-3.3351086	-427.00869	-422.29052	-421.5203
6	289	-490.98405	-487.54569	-486.7295	3.4383573	-0.81618494	-485.703	-480.33962	-473.1263
6	290	-244.51291	-245.18975	-245.56849	-0.67683772	0.37874302	-241.39473	-240.2866	-240.28343
6	291	-287.32072	-286.26385	-286.64933	1.0568688	0.38548485	-284.18184	-279.91174	-278.74654
6	292	-322.15462	-322.089	-322.27931	0.065619537	0.19031104	-319.5724	-315.72602	-312.70803
6	293	-430.4041	-430.14849	-426.71514	0.25560378	-3.43335	-428.08451	-424.93357	-417.50052
6	294	-638.86655	-632.21688	-634.75411	6.6496669	2.5372237	-626.6848	-615.83054	-615.83098
6	295	-281.38015	-280.01681	-280.82007	1.3633318	0.80325457	-278.33247	-273.78443	-273.78225
6	296	-265.16063	-265.84818	-266.2674	-0.68754248	0.41922516	-262.20746	-262.46205	-262.47949
6	297	-454.29288	-452.86229	-451.07241	1.4305904	-1.7898723	-451.76787	-447.36534	-442.0729
6	298	-298.05975	-297.53141	-298.25435	0.52833562	0.72293503	-295.2827	-290.19031	-290.19821
6	299	-303.48196	-304.09845	-304.41755	-0.61649147	0.31909872	-300.78617	-300.96221	-300.40849
6	300	-296.00752	-294.97657	-295.62656	1.0309478	0.64998372	-293.27415	-289.10828	-289.40115
6	301	-430.44368	-416.9024	-418.07896	13.541279	1.1765657	-415.50553	-406.90912	-406.94074
6	302	-434.16964	-433.98419	-434.35105	0.1854559	0.36686223	-428.82615	-424.49147	-423.28358
6	303	-310.13066	-307.13619	-307.99828	2.9944681	0.86209548	-302.64247	-294.00637	-293.99252
6	304	-341.01658	-337.02321	-337.87048	3.9933698	0.84726603	-335.06933	-327.08283	-327.09535
6	305	-316.36171	-314.13788	-315.26214	2.2238265	1.1242567	-313.54297	-304.16603	-304.17637
6	306	-623.58662	-621.97079	-617.21224	1.6158356	-4.7585413	-609.66721	-603.63176	-596.94256
6	307	-402.16304	-400.83368	-401.26164	1.3293633	0.42796072	-397.8034	-391.84101	-389.83893
6	308	-284.45333	-280.74408	-282.38377	3.7092448	1.6396854	-280.08322	-271.65212	-271.71966
6	309	-266.45457	-266.89032	-267.59004	-0.43575456	0.69971565	-263.66941	-261.95162	-262.04651
6	310	-375.45941	-364.18942	-365.13965	11.269993	0.95022879	-368.04449	-355.862	-355.87591
6	311	-414.55286	-412.91774	-410.58672	1.6351193	-2.3310178	-411.21244	-402.08839	-395.47364
6	312	-421.16234	-416.90438	-417.78454	4.2579518	0.88015956	-411.86031	-401.53148	-399.15939
6	313	-271.17185	-271.78655	-272.08559	-0.6146996	0.29904131	-266.74818	-264.91921	-264.97398
6	314	-391.50198	-377.7567	-379.75776	13.745273	2.0010558	-376.33808	-365.81899	-365.82416
6	315	-448.90226	-444.67091	-446.38948	4.2313538	1.7185665	-438.74128	-435.81375	-434.17262
6	316	-311.06438	-310.80958	-311.27262	0.25480087	0.46304012	-308.26363	-303.37251	-297.49565
6	317	-270.07157	-268.7259	-269.83381	1.3456776	1.1079112	-267.04333	-260.86049	-261.1309
6	318	-399.09017	-399.81052	-400.2203	-0.7203585	0.40977892	-390.93087	-390.10463	-390.09485
6	319	-289.54115	-290.03655	-290.3239	-0.49539871	0.28735473	-286.841	-285.63984	-282.55289
6	320	-232.26909	-231.86856	-232.77585	0.40053199	0.90729353	-229.02979	-224.74627	-224.71026
6	321	-450.58279	-450.94722	-451.21209	-0.36442178	0.26487208	-441.7235	-441.69089	-435.43887
6	322	-420.69979	-420.9033	-421.28028	-0.20351463	0.37697862	-415.46492	-411.46487	-410.21842
6	323	-473.88986	-465.1384	-466.86755	8.7514627	1.7291567	-462.87043	-448.41606	-448.41701
6	324	-196.97974	-197.17101	-197.3447	-0.19126438	0.17369171	-193.55253	-189.7499	-189.74401
6	325	-417.46863	-416.35015	-415.1999	1.1184861	-1.1502458	-414.80307	-409.74785	-401.56765
6	326	-358.71499	-358.1434	-358.80111	0.57159645	0.65771632	-355.47628	-349.96656	-349.945
6	327	-405.8324	-403.86855	-403.7033	1.9638522	-0.16525288	-403.61509	-395.25505	-390.78561
6	328	-596.45654	-590.41277	-592.14978	6.0437662	1.7370031	-586.11292	-578.80276	-575.80783
6	329	-363.18816	-361.98532	-363.02597	1.2028347	1.0406453	-360.60163	-353.67957	-353.68131
6	330	-393.53556	-387.27967	-388.21619	6.2558941	0.93652052	-385.30977	-378.20732	-378.76737
