"label","genus","species","species.name","s.name","common.name","common.short","genome","node","clade","node.type","branch.length"
"hg38-gorGor3",NA,NA,NA,NA,NA,NA,NA,74,"gorGor3;hg38;panTro4","internal",0.00953503
"hg38-panTro4",NA,NA,NA,NA,NA,NA,NA,75,"hg38;panTro4","internal",0.00214587
"rheMac3-chlSab2",NA,NA,NA,NA,NA,NA,NA,76,"chlSab2;macFas5;papAnu2;rheMac3","internal",0.0255202
"rheMac3-papAnu2",NA,NA,NA,NA,NA,NA,NA,77,"macFas5;papAnu2;rheMac3","internal",0.0040709
"rheMac3-macFas5",NA,NA,NA,NA,NA,NA,NA,78,"macFas5;rheMac3","internal",0.0050833
"calJac3-saiBol1",NA,NA,NA,NA,NA,NA,NA,79,"calJac3;saiBol1","internal",0.0347897
"speTri2-oryCun2",NA,NA,NA,NA,NA,NA,NA,80,"cavPor3;chiLan1;criGri1;hetGla2;jacJac1;mesAur1;micOch1;mm10;ochPri3;octDeg1;oryCun2;rn6;speTri2","internal",0.0129379
"speTri2-hetGla2",NA,NA,NA,NA,NA,NA,NA,81,"cavPor3;chiLan1;criGri1;hetGla2;jacJac1;mesAur1;micOch1;mm10;octDeg1;rn6;speTri2","internal",0.0272505
"speTri2-jacJac1",NA,NA,NA,NA,NA,NA,NA,82,"criGri1;jacJac1;mesAur1;micOch1;mm10;rn6;speTri2","internal",0.00771378
"jacJac1-micOch1",NA,NA,NA,NA,NA,NA,NA,83,"criGri1;jacJac1;mesAur1;micOch1;mm10;rn6","internal",0.0569671
"micOch1-mm10",NA,NA,NA,NA,NA,NA,NA,84,"criGri1;mesAur1;micOch1;mm10;rn6","internal",0.116838
"micOch1-criGri1",NA,NA,NA,NA,NA,NA,NA,85,"criGri1;mesAur1;micOch1","internal",0.0282033
"criGri1-mesAur1",NA,NA,NA,NA,NA,NA,NA,86,"criGri1;mesAur1","internal",0.0360916
"mm10-rn6",NA,NA,NA,NA,NA,NA,NA,87,"mm10;rn6","internal",0.0652661
"hetGla2-cavPor3",NA,NA,NA,NA,NA,NA,NA,88,"cavPor3;chiLan1;hetGla2;octDeg1","internal",0.105307
"cavPor3-chiLan1",NA,NA,NA,NA,NA,NA,NA,89,"cavPor3;chiLan1;octDeg1","internal",0.0266244
"chiLan1-octDeg1",NA,NA,NA,NA,NA,NA,NA,90,"chiLan1;octDeg1","internal",0.0152716
"oryCun2-ochPri3",NA,NA,NA,NA,NA,NA,NA,91,"ochPri3;oryCun2","internal",0.104344
"susScr3-eriEur2",NA,NA,NA,NA,NA,NA,NA,92,"ailMel1;bosTau8;camFer1;canFam3;capHir1;cerSim1;conCri1;eptFus1;equCab2;eriEur2;felCat8;lepWed1;musFur1;myoDav1;myoLuc2;odoRosDiv1;orcOrc1;oviAri3;panHod1;pteAle1;pteVam1;sorAra2;susScr3;turTru2;vicPac2","internal",0.0230746
"susScr3-equCab2",NA,NA,NA,NA,NA,NA,NA,93,"ailMel1;bosTau8;camFer1;canFam3;capHir1;cerSim1;eptFus1;equCab2;felCat8;lepWed1;musFur1;myoDav1;myoLuc2;odoRosDiv1;orcOrc1;oviAri3;panHod1;pteAle1;pteVam1;susScr3;turTru2;vicPac2","internal",0.0122512
"susScr3-vicPac2",NA,NA,NA,NA,NA,NA,NA,94,"bosTau8;camFer1;capHir1;orcOrc1;oviAri3;panHod1;susScr3;turTru2;vicPac2","internal",0.0445492
"vicPac2-turTru2",NA,NA,NA,NA,NA,NA,NA,95,"bosTau8;camFer1;capHir1;orcOrc1;oviAri3;panHod1;turTru2;vicPac2","internal",0.00440398
"vicPac2-camFer1",NA,NA,NA,NA,NA,NA,NA,96,"camFer1;vicPac2","internal",0.0985397
"turTru2-panHod1",NA,NA,NA,NA,NA,NA,NA,97,"bosTau8;capHir1;orcOrc1;oviAri3;panHod1;turTru2","internal",0.0224037
"turTru2-orcOrc1",NA,NA,NA,NA,NA,NA,NA,98,"orcOrc1;turTru2","internal",0.0574423
"panHod1-bosTau8",NA,NA,NA,NA,NA,NA,NA,99,"bosTau8;capHir1;oviAri3;panHod1","internal",0.112657
"bosTau8-oviAri3",NA,NA,NA,NA,NA,NA,NA,100,"bosTau8;capHir1;oviAri3","internal",0.0017629
"oviAri3-capHir1",NA,NA,NA,NA,NA,NA,NA,101,"capHir1;oviAri3","internal",0.00662765
"equCab2-pteAle1",NA,NA,NA,NA,NA,NA,NA,102,"ailMel1;canFam3;cerSim1;eptFus1;equCab2;felCat8;lepWed1;musFur1;myoDav1;myoLuc2;odoRosDiv1;pteAle1;pteVam1","internal",0.00373968
"equCab2-felCat8",NA,NA,NA,NA,NA,NA,NA,103,"ailMel1;canFam3;cerSim1;equCab2;felCat8;lepWed1;musFur1;odoRosDiv1","internal",0.00483835
"equCab2-cerSim1",NA,NA,NA,NA,NA,NA,NA,104,"cerSim1;equCab2","internal",0.0347784
"felCat8-canFam3",NA,NA,NA,NA,NA,NA,NA,105,"ailMel1;canFam3;felCat8;lepWed1;musFur1;odoRosDiv1","internal",0.0518729
"canFam3-musFur1",NA,NA,NA,NA,NA,NA,NA,106,"ailMel1;canFam3;lepWed1;musFur1;odoRosDiv1","internal",0.0210109
"musFur1-ailMel1",NA,NA,NA,NA,NA,NA,NA,107,"ailMel1;lepWed1;musFur1;odoRosDiv1","internal",0.0200318
"ailMel1-odoRosDiv1",NA,NA,NA,NA,NA,NA,NA,108,"ailMel1;lepWed1;odoRosDiv1","internal",0.00450724
"odoRosDiv1-lepWed1",NA,NA,NA,NA,NA,NA,NA,109,"lepWed1;odoRosDiv1","internal",0.0279745
"pteAle1-eptFus1",NA,NA,NA,NA,NA,NA,NA,110,"eptFus1;myoDav1;myoLuc2;pteAle1;pteVam1","internal",0.0341993
"pteAle1-pteVam1",NA,NA,NA,NA,NA,NA,NA,111,"pteAle1;pteVam1","internal",0.105708
"eptFus1-myoDav1",NA,NA,NA,NA,NA,NA,NA,112,"eptFus1;myoDav1;myoLuc2","internal",0.104754
"myoDav1-myoLuc2",NA,NA,NA,NA,NA,NA,NA,113,"myoDav1;myoLuc2","internal",0.0236592
"eriEur2-sorAra2",NA,NA,NA,NA,NA,NA,NA,114,"conCri1;eriEur2;sorAra2","internal",0.0360627
"sorAra2-conCri1",NA,NA,NA,NA,NA,NA,NA,115,"conCri1;sorAra2","internal",0.0166079
"loxAfr3-dasNov3",NA,NA,NA,NA,NA,NA,NA,116,"chrAsi1;dasNov3;echTel2;eleEdw1;loxAfr3;oryAfe1;triMan1","internal",0.0071811
"loxAfr3-oryAfe1",NA,NA,NA,NA,NA,NA,NA,117,"chrAsi1;echTel2;eleEdw1;loxAfr3;oryAfe1;triMan1","internal",0.055983
"loxAfr3-chrAsi1",NA,NA,NA,NA,NA,NA,NA,118,"chrAsi1;echTel2;eleEdw1;loxAfr3;triMan1","internal",0.00370578
"loxAfr3-triMan1",NA,NA,NA,NA,NA,NA,NA,119,"eleEdw1;loxAfr3;triMan1","internal",0.016517
"loxAfr3-eleEdw1",NA,NA,NA,NA,NA,NA,NA,120,"eleEdw1;loxAfr3","internal",0.00281432
"chrAsi1-echTel2",NA,NA,NA,NA,NA,NA,NA,121,"chrAsi1;echTel2","internal",0.0223786
"monDom5-sarHar1",NA,NA,NA,NA,NA,NA,NA,122,"macEug2;monDom5;sarHar1","internal",0.21065
"sarHar1-macEug2",NA,NA,NA,NA,NA,NA,NA,123,"macEug2;sarHar1","internal",0.0276415
