No.	ID	n_rate	c_rate	aptHaa_3	aptOwe_3	aptRow_3	casCas_3	droNov_3	rheAme_3	rhePen_3	anoDid_3	strCam_3	aptHaa.aptOwe_3	casCas.droNov_3	rheAme.rhePen_3	aptHaa.aptRow_3	aptHaa.casCas_3	aptHaa.rheAme_3
11	4467	3.57054	0.32319	0.1785	0.1708	0.08815	0.1078	0.0271	0.08105	0.07285	0.9832	0.252	0.0575	0.0033	0.00015	0.0012	0.00015	0
12	635	2.4263	0.17941	1	1	1	0.003	0.0016	0.32535	0.1104	0.00725	0.00015	1	0	5e-05	1	0	0
12	1275	1.41095	0.188003	0.9448	0.9454	0.95925	0.25765	0.0698	0.09925	0.0877	1	0.0154	0.938	0.0186	0.00075	0.92965	0.01555	0.00055
12	1424	2.47503	0.168414	0.9709	0.97065	0.2895	0.0072	0.011	0.02755	0.0226	0.0542	0.0057	0.97005	5e-05	0	0.2848	5e-05	0
12	1589	2.02149	0.206467	0.35065	0.3485	0.2471	0.16045	0.1443	0.9812	0.9898	0.1575	0.07715	0.2233	0.07175	0.97965	0.1229	0.06525	0.05465
12	2350	3.07557	0.268818	0.1182	0.1122	0.04825	0.0361	0.00495	0.21895	0.067	1	0.0181	0.0176	0.00055	0.03645	1e-04	0	0
12	3646	4.03049	0.262803	0.16335	0.1507	0.07485	0.02495	0.0173	0.07035	0.15795	0.99805	0.00255	0.04415	5e-04	8e-04	2e-04	0	0
13	571	1.56871	0.113785	0.08995	0.08115	0.02215	5e-04	0.01865	1	1	0	0	0.0139	0	1	1e-04	0	0
13	924	3.57025	0.0898303	0.0311	0.094	1	0	0	0.9943	0.1903	0	0	0.00015	0	0	0	0	0
13	1423	1.49998	0.0946869	0.13005	0.1242	0.17575	0.04055	0.0038	1	1	0.00545	0.0245	0.021	0	1	0	0	0
13	1440	2.27573	0.115534	0.2498	0.47295	0.0686	0.0099	0.00645	1	1	1e-04	0	0.14435	0	1	1e-04	0	0
13	2371	1.47341	0.23602	0.34285	0.22825	0.08315	0.01095	0.0264	0.25825	0.14695	0.9966	0.9996	0.0924	0.00095	1e-04	0.0016	4e-04	0
13	2542	0.644866	0.108806	0.0797	0.06925	0.16945	0.00065	0.0447	0.9657	0.9657	0	0	0.00275	0	0.9657	0	0	0
13	2623	0.930964	0.0632898	0.22415	0.46105	0.0679	1	1	0.0524	0.1398	0.0021	0	0.1152	1	0	0.00315	0.00275	0
13	3031	5.97357	0.211007	0.0719	0.065	0.01935	0.00265	0.00035	0.01645	0.01285	1	0	0.0039	0	0	0	0	0
13	3165	0.833715	0.0397224	0.0983	0.09155	0.04435	0.00935	0.00635	0.6007	0.6155	0.00095	0	0.01965	0	0.59895	0	0	0
13	3263	3.78017	0.295574	0.1538	0.4426	0.01905	0.00795	0.01315	0.0454	0.0333	1	0	0.0849	0	0	0	0	0
13	3962	1.97307	0.267178	0.5119	0.5082	0.5628	0.38875	0.37865	0.99615	0.99685	0.5043	0.5289	0.39365	0.33995	0.99415	0.30315	0.2845	0.2516
14	109	5.16436	0.101734	0.10385	0.0973	0.03585	0.003	0.0019	1	1	0.00485	1e-04	0.0134	0	1	0	0	0
14	133	2.28375	0.105277	0.1394	0.1352	0.07965	0.00225	0.00115	1	1	0	0	0.05915	0	1	0.05105	0	0
14	3172	1.80575	0.225595	0.172	0.1705	0.1058	0.09515	0.0899	0.10665	0.1084	0.08155	0.0073	0.08705	0.0531	0.03875	0.02305	0.0162	0.0101
14	3368	0.656041	0.124593	0.55335	0.54495	0.4425	0.74845	0.88335	0.4222	0.70135	0.99995	0.5283	0.43465	0.12755	0.0378	0.27915	0.0619	0.01385
14	3853	1.38746	0.176807	0.7921	0.79045	1	0.0661	0.05085	0.08075	0.49465	0.08415	0.013	0.78615	0.02695	0.02815	0.78605	0.02485	0.015
14	4763	5.36211	0.118852	0.04	0.0292	0.0283	0	1	7e-04	4e-04	0	0	2e-04	0	0	0	0	0
14	4873	3.61509	0.341906	0.2543	0.2445	0.41685	0.0233	0.41435	0.41675	0.09375	1	1	0.06035	0.00015	0.00015	0.0034	0	0
15	303	1.62694	0.279454	0.7224	0.725	0.65675	0.7294	0.69045	0.6096	0.55815	0.5146	0.5857	0.65225	0.6165	0.42	0.5353	0.4476	0.28995
15	1069	2.62473	0.231414	0.3461	0.34195	0.188	0.21925	0.3027	0.99995	1	0.98385	1	0.1039	0.0683	0.99995	0.01885	0.0173	0.01525
15	1384	3.98944	0.283431	0.16455	0.16365	0.0798	0.0646	0.0196	0.0728	0.0647	1	0.0191	0.0491	5e-05	1e-04	0.00075	0	0
15	2170	1.52631	0.24848	0.5016	0.4953	0.55205	0.597	0.6991	1	1	0.02485	0.4752	0.35835	0.48875	1	0.2862	0.26545	0.21555
15	2414	3.16178	0.295871	0.2447	0.22935	0.12395	0.1615	0.03645	0.69525	0.69395	0.99965	0.00135	0.0801	0.0083	0.6807	0.00645	0.003	0.0025
15	2585	2.65197	0.352	1	1	1	0.0184	0.0108	0.08685	0.3075	0.1918	0.0016	1	0.00015	0.00015	1	0.00015	0
15	2845	1.3496	0.0689711	0.08365	0.2384	0.0528	8e-04	0.5549	0.01235	0.00885	0	0	0.0345	0	0	0	0	0
15	3046	1.66109	0.291415	0.7343	0.7262	0.5662	0.63065	0.4405	0.9842	0.92275	0.15735	1	0.55925	0.32565	0.9169	0.30205	0.26915	0.2243
15	3749	3.76407	0.215237	0.1535	0.13985	0.07095	0.0989	0.06685	0.0618	0.2297	1	0.0052	0.03505	0.00335	0.00075	0.00125	8e-04	0.00045
15	3951	1.03258	0.25849	0.7451	0.7875	0.93295	0.27425	0.8013	1	1	0.01815	0.7459	0.67145	0.21145	1	0.62035	0.2	0.1701
16	268	0.78246	0.138736	0.9285	0.94245	0.9283	0.2896	0.8678	0.0782	0.06605	1	1e-04	0.9196	0.005	0	0.91605	0.0033	0
16	369	1.56525	0.189582	0.13355	0.1268	0.06015	0.03645	0.00545	1	1	0.02145	0.01425	0.02625	0.00065	1	0.00315	5e-04	5e-04
16	980	1.3333	0.2168	0.48645	0.48265	0.4692	0.7169	0.71245	0.84375	0.79945	0.2886	0.044	0.3415	0.6867	0.7873	0.249	0.24165	0.2075
16	1510	2.05117	0.20713	0.53155	0.53225	0.47125	0.12385	0.1084	0.1764	0.4613	0.38325	0.01585	0.4602	0.02845	0.0249	0.41275	0.02275	0.0113
16	1787	1.63908	0.160879	1	1	1	0.1017	0.3619	0.12815	0.11065	0.1263	0.816	1	0.0122	0.011	1	0.0109	0.006
