chr	No.	triMan1_3	lepWed1_3	odoRosDiv1_3	orcOrc1_3	turTru2_3	odoRosDiv1.lepWed1_3	turTru2.orcOrc1_3
5	49	0.0493333	0.947167	0.996333	0.852	0.928833	0.778167	0.777833
5	51	0.00133333	1	1	0.644667	0.275667	1	0.00383333
5	53	0	0.00716667	0.0173333	0.0636667	0.994833	0.000333333	0.00483333
5	54	0.00316667	0.999833	0.844333	0.392333	0.556667	0.796333	0.0103333
5	55	0.0493333	0.0123333	0.0373333	1	1	0	1
5	56	0.099	0.976833	0.211333	0.968	0.951667	0.149167	0.9445
5	58	0	1	1	0.029	1	1	0
5	59	0.393333	0.570333	0.768667	0.994	0.995333	0.343333	0.977333
5	60	0.029	0.945833	0.935167	0.5825	0.3795	0.916667	0.0955
5	61	0.000166667	0.0843333	1	0.07	0.0535	0.0828333	0
5	63	0.78	0.9615	1	0.446	0.978667	0.957833	0.0151667
5	64	0.00683333	0.0733333	0.117833	0.946333	0.954333	0.00883333	0.742167
5	67	0.992167	0.872	0.902333	0.9995	0.999667	0.5405	0.998333
5	68	0	1	0.179167	0.9605	0.7845	0.174333	0.3085
5	69	0.691833	0.894667	0.886667	0.9855	0.994833	0.817	0.978333
5	71	0.103167	0.00466667	0.0426667	1	1	0	1
5	72	0	0	0	0.0085	1	0	0
5	74	0.149	0.241333	0.907667	0.3305	0.645667	0.196	0.19
5	75	0	0.000166667	1	0.00316667	0.206	0	0
5	76	0.00783333	0.0348333	0.0313333	0.836833	1	0.001	0.825833
5	77	0	0	0	0.00316667	1	0	0
6	0	0	0	0	0.0311667	1	0	0
6	1	0	0.00483333	1	0.0278333	0.0176667	0.00483333	0
6	2	0	0	1	0.006	0.00616667	0	0
6	3	0.00966667	0.652	0.2715	0.585167	0.998833	0.1065	0.485667
6	4	0	0	0	0.0015	1	0	0
6	6	0.959	0.149	0.227167	0.9985	0.999833	0.0075	0.9985
6	8	1	0.2765	0.103333	0.264167	0.557333	0.0653333	0.0463333
6	9	0.00266667	0.0758333	1	0.1015	0.0871667	0.0708333	0.000333333
6	11	1	0.00266667	0.0085	0.0863333	0.0786667	0	0.00116667
6	12	0.8515	0.136667	0.125167	0.3495	0.862	0.0326667	0.115167
6	14	0.932333	0.994167	0.9815	0.611333	0.764	0.943167	0.190333
6	15	0.0523333	0.0585	0.049	0.993167	0.999333	0.0045	0.993
6	16	0	0	0	0.0175	1	0	0
6	17	0.414833	0.747333	0.709667	0.81	0.711667	0.428	0.607333
6	18	0	0	0	0.0126667	1	0	0
6	19	0.015	0.0651667	0.0101667	0.840333	0.997167	0.000166667	0.8345
